Rk,Team,Rec,F+,OF+,Rk,DF+,Rk,FEI,Rk,SP+,Rk
1,Georgia,12-1,2.70,2.05,3,2.65,1,1.65,1,32.0,1
2,Ohio State,11-2,2.16,2.79,1,.69,31,1.17,3,29.2,2
3,Alabama,12-1,2.14,2.17,2,1.63,6,1.23,2,27.3,3
4,Michigan,12-2,1.77,1.35,11,1.36,11,1.00,4,23.4,4
5,Cincinnati,12-1,1.44,1.06,18,1.50,9,.73,8,21.3,5
6,Wisconsin,9-4,1.37,.24,60,2.10,2,.69,9,20.1,7
7,Oklahoma State,11-2,1.36,.45,48,1.89,4,.82,5,17.1,12
8,Texas A&M,7-4,1.33,.46,46,1.61,7,.61,13,21.2,6
9,Notre Dame,11-2,1.32,1.03,20,1.20,15,.77,6,17.3,11
10,Utah,9-4,1.22,1.35,10,.90,21,.75,7,15.1,16
11,Baylor,11-2,1.17,.66,36,1.40,10,.69,10,15.4,15
12,Tennessee,6-6,1.14,1.54,5,.23,55,.56,18,17.5,10
13,Oklahoma,10-2,1.13,1.60,4,.16,56,.59,14,16.6,13
14,Ole Miss,9-3,1.10,1.22,14,.72,27,.63,12,14.8,17
15,Clemson,9-3,1.10,-.25,79,1.95,3,.45,27,18.8,8
16,Iowa State,6-6,1.08,.89,23,.93,19,.64,11,14.2,20
17,Pittsburgh,10-3,1.07,.88,25,.88,23,.47,25,17.6,9
18,NC State,8-3,1.03,.47,45,1.23,14,.50,23,16.1,14
19,Arkansas,8-4,1.01,.90,22,.91,20,.57,16,13.9,21
20,Kentucky,9-3,1.00,1.09,17,.62,33,.58,15,13.4,22
21,Penn State,6-6,.97,-.01,69,1.58,8,.51,20,14.3,19
22,Kansas State,7-5,.96,.83,28,1.02,16,.56,17,12.8,25
23,Minnesota,9-4,.92,.32,55,1.29,12,.45,28,14.4,18
24,Auburn,5-7,.84,.52,42,.98,17,.51,21,11.1,29
25,Purdue,9-4,.82,.67,35,.83,25,.52,19,10.3,36
26,Wake Forest,10-3,.79,1.35,12,-.14,76,.50,22,10.1,39
27,Western Kentucky,8-5,.78,1.54,6,-.32,89,.34,35,13.3,23
28,Michigan State,10-2,.77,.77,29,.55,35,.43,30,11.2,28
29,Iowa,10-4,.74,-.67,92,1.72,5,.38,32,11.4,27
30,Nebraska,2-9,.73,.77,30,.93,18,.42,31,10.3,37
31,Boise State,7-5,.73,.03,68,.87,24,.46,26,9.3,42
32,UCLA,8-4,.72,1.32,13,-.08,72,.45,29,9.5,41
33,Florida,5-7,.68,.58,39,.70,30,.33,36,11.1,30
