Rk,Team,Rec,FEI,OFEI,Rk,DFEI,Rk,NDE,Rk,NPD,Rk,NAY,Rk,NPP,Rk,ELS,Rk,GLS,Rk,ALS,Rk
1,Georgia,13-1,1.65,1.58,3,1.93,1,2.65,1,2.70,1,.310,1,3.33,1,2.88,2,5.87,2,9.22,2
2,Alabama,12-2,1.21,1.70,2,1.00,6,1.62,3,1.52,4,.225,3,1.64,5,3.45,1,6.41,1,9.45,1
3,Ohio State,11-2,1.17,2.08,1,.22,42,1.89,2,2.02,2,.282,2,2.85,2,1.91,24,4.42,20,7.55,16
4,Michigan,12-2,.99,1.16,5,.66,13,1.29,6,1.52,5,.169,7,1.52,6,2.58,5,5.07,6,8.05,7
5,Oklahoma State,11-2,.82,.51,38,1.24,2,1.10,9,1.07,12,.176,6,1.03,18,2.14,15,5.07,7,8.41,3
6,Notre Dame,11-2,.76,.75,20,.75,11,1.06,12,1.15,9,.094,26,.94,23,1.47,47,3.90,40,7.33,25
7,Utah,9-4,.74,1.09,7,.51,21,1.24,7,1.20,7,.191,5,1.31,10,1.58,39,4.14,33,7.66,15
8,Cincinnati,12-1,.72,.66,29,.86,8,1.53,4,1.53,3,.159,8,2.18,3,1.37,52,3.28,63,6.21,60
9,Wisconsin,9-4,.69,.30,52,1.18,3,.88,19,.83,24,.156,9,1.29,12,1.88,29,4.62,18,8.01,8
10,Baylor,11-2,.69,.55,34,.85,9,.87,20,.86,20,.101,22,.90,26,2.01,21,4.66,14,7.92,10
11,Iowa State,6-6,.63,.80,19,.51,22,.85,21,.89,19,.133,15,1.34,9,1.81,32,4.34,24,7.34,24
12,Ole Miss,9-3,.63,.96,14,.43,28,.65,33,.67,33,.072,36,.47,47,2.21,12,4.81,11,7.76,13
13,Texas A&M,7-4,.60,.21,59,.90,7,.73,28,.92,17,.068,38,1.14,16,1.51,42,3.51,52,6.05,64
14,Oklahoma,10-2,.58,1.06,8,.00,56,.53,41,.74,28,.032,53,.64,40,1.76,36,4.14,34,7.09,29
15,Kentucky,9-3,.58,.94,15,.29,35,1.09,10,1.06,13,.143,12,1.19,15,1.75,37,3.67,44,6.36,55
16,Arkansas,8-4,.57,.75,21,.56,17,.63,34,.67,34,.057,44,.65,39,2.75,3,5.01,8,7.55,17
17,Kansas State,7-5,.56,.83,18,.57,16,.96,16,.78,26,.096,25,1.14,17,1.56,40,3.91,38,7.01,35
18,Tennessee,6-6,.55,1.14,6,-.11,66,.33,54,.40,49,.056,45,.97,20,2.48,6,4.63,17,7.12,28
19,Purdue,9-4,.52,.62,31,.45,26,.53,42,.44,45,.098,24,.43,49,2.25,10,4.79,12,7.77,12
20,Penn State,6-6,.51,.12,65,.84,10,.44,46,.44,44,.016,62,.28,59,2.25,11,4.67,13,7.44,19
21,Auburn,5-7,.50,.63,30,.51,20,.17,60,.12,62,.017,60,-.01,70,2.69,4,5.37,3,8.09,6
22,Wake Forest,10-3,.50,1.00,10,-.07,62,.81,25,.94,16,.094,27,.37,54,1.19,62,3.54,48,6.92,39
23,NC State,8-3,.50,.28,54,.67,12,.70,30,.66,35,.091,29,.77,32,1.00,77,2.97,68,5.80,71
24,Air Force,9-3,.48,.99,12,.11,47,1.20,8,1.16,8,.205,4,.96,22,.79,100,2.59,85,5.52,78
25,Pittsburgh,10-3,.47,.34,47,.55,18,1.00,14,1.00,14,.142,13,1.28,13,1.09,70,3.20,64,6.33,57
26,Boise State,7-5,.46,.15,64,.48,23,.46,45,.62,36,.061,41,.09,67,1.18,64,3.40,57,6.50,47
27,Clemson,9-3,.45,-.23,84,1.04,4,.55,39,.71,31,.089,30,.67,36,2.05,19,4.33,25,7.07,30
28,Minnesota,9-4,.45,.45,40,.52,19,.82,24,.84,22,.150,11,.64,41,1.46,48,3.64,45,6.74,41
29,UCLA,8-4,.45,.99,11,-.13,69,.84,23,.84,23,.084,31,.74,34,.93,81,2.87,72,6.00,65
30,Michigan State,10-2,.43,.58,33,.14,46,.26,57,.34,52,-.015,73,.34,55,1.99,22,4.40,22,7.44,20
31,Nebraska,2-9,.42,.60,32,.61,15,.47,44,.29,56,.016,61,.88,29,2.27,9,4.82,10,7.39,21
32,Iowa,10-4,.38,-.34,90,1.01,5,.28,56,.32,54,.067,39,.40,52,2.12,17,4.85,9,8.22,4
33,Texas,5-7,.35,.54,35,.04,52,.07,68,.19,59,-.031,81,.01,69,1.91,26,4.39,23,7.27,26
34,Oregon,9-4,.34,.96,13,.03,53,.56,38,.43,46,.059,42,.92,25,2.12,16,4.65,15,7.79,11
35,Western Kentucky,8-5,.34,1.03,9,-.35,88,1.08,11,1.09,11,.140,14,1.42,7,.89,84,2.63,82,5.39,79
36,Florida,5-7,.33,.25,58,.47,24,.30,55,.35,51,.057,43,.66,38,2.15,14,4.32,26,7.05,33
37,BYU,9-3,.33,1.18,4,-.31,83,.71,29,.52,40,.065,40,.97,21,1.24,59,3.40,59,6.49,48
38,Appalachian State,9-4,.31,.29,53,.28,36,.79,27,.76,27,.115,18,.85,30,.87,91,2.76,78,5.83,70
39,Arizona State,7-5,.30,.36,46,.37,29,.59,35,.46,43,.093,28,.90,27,1.40,49,3.50,53,6.34,56
40,Louisiana,12-1,.29,.41,43,.08,50,.99,15,.98,15,.110,20,1.26,14,.68,109,2.16,109,4.91,97
41,Houston,11-2,.28,.16,63,.44,27,1.01,13,1.09,10,.127,16,.67,37,.89,83,2.56,89,5.34,80
42,Mississippi State,6-6,.26,.69,26,.34,33,.41,48,.21,58,.070,37,-.16,77,2.04,20,4.64,16,7.68,14
43,Army,8-4,.26,.68,27,-.09,65,.80,26,.82,25,.077,33,-.38,85,1.07,73,2.91,71,5.60,75
44,LSU,5-7,.26,.31,51,.20,44,-.39,88,-.32,85,-.022,78,-.37,84,2.47,7,5.23,4,8.21,5
45,Louisville,5-7,.23,.67,28,-.22,77,.03,71,-.03,70,.018,59,.53,44,1.51,43,3.93,37,7.00,37
46,Florida State,5-6,.23,.36,45,.22,43,.21,59,.05,67,-.011,71,.79,31,1.37,51,3.62,46,6.42,53
47,Coastal Carolina,10-2,.22,.90,17,-.56,101,1.39,5,1.36,6,.152,10,1.73,4,.31,130,1.00,130,2.86,130
48,Fresno State,9-3,.20,.08,68,.24,40,.69,32,.73,30,.099,23,.52,46,.84,94,2.51,91,5.14,90
49,UTSA,11-2,.20,.70,24,-.18,74,.85,22,.86,21,.126,17,.57,42,.64,115,2.25,100,5.19,87
50,Oregon State,6-6,.19,.72,23,-.42,95,.12,62,.14,61,-.011,69,.26,60,1.21,60,3.50,55,6.74,40
51,Liberty,7-5,.18,.34,48,.10,48,.93,17,.90,18,.114,19,1.30,11,.73,107,2.24,101,4.87,98
52,Washington State,6-6,.17,.05,69,.45,25,.37,49,.34,53,-.002,68,.14,65,1.18,65,3.32,62,6.41,54
